CLASIFICACION|SUBCLASIFICACION|DESCRIPCION|CODIGO INTERNO| COSTO SIN IVA | IVA | MARGEN 
REPUESTOS|U CLIP (Modelo anterior)|TORNILLOS CARCASA U CLIP|VET3-495-10000| 26 | 21 | 200 
REPUESTOS|U CLIP (Modelo anterior)|TORNILLO DE REGULACION U CLIP|VET3-8117-1000| 28 | 21 | 200 
REPUESTOS|U CLIP (Modelo anterior)|PALANCA DE CUCHILLA U CLIP|VET3-8227-1001| 73 | 21 | 200 
REPUESTOS|U CLIP (Modelo anterior)|BASTIDOR PLASTICO U CLIP|VET3-8409-2701| 28 | 21 | 200 
REPUESTOS|U CLIP (Modelo anterior)|BOBINA SHUNT U CLIP|VET3-8424-6000| 563 | 21 | 200 
REPUESTOS|U CLIP (Modelo anterior)|TAPA U CLIP (MOD. ANTERIOR)|VET3-9147-7010| 100 | 21 | 200 
REPUESTOS|U CLIP (Modelo anterior)|TAPA COMPL. U CLIP (MOD. ANT)|VET3-9148-3971| 120 | 21 | 200 
REPUESTOS|U CLIP (Modelo anterior)|CARCASA U CLIP (MOD.ANT)|VET3-9202-3433| 224 | 21 | 200 
REPUESTOS|U CLIP (Modelo anterior)|CABLE DE BOBINA U CLIP|VET3-97699-050| 42 | 21 | 200 
REPUESTOS||||| 21 | 200 
REPUESTOS|WAHL 400|TOR BAST DE CUCHI Y CORTO STER|PRO3-492-30000| 20 | 21 | 200 
REPUESTOS|WAHL 400|SWITCH SUPER TAPER - W400|PRO3-8108-0010| 118 | 21 | 200 
REPUESTOS|WAHL 400|BASTIDOR MET.CUCH STAPER/W400|PRO3-9214-0000| 14 | 21 | 200 
REPUESTOS|WAHL 400|TORNILLO BRAZO DE BOBINA|PUB3-1567-0000| 8 | 21 | 200 
REPUESTOS|WAHL 400|TORNILLO DE BOBINA|PUB3-503-00000| 20 | 21 | 200 
REPUESTOS|WAHL 400|BRAZO BOBINA HOMECUT/W400/STUD|PUB3-8105-0000| 245 | 21 | 200 
REPUESTOS|WAHL 400|TORNILLO DE REGULACION COMPLE|PUB3-8117-8115| 26 | 21 | 200 
REPUESTOS|WAHL 400|PALANCA CUC S TAPER/400/HOMECU|PUB3-8227-0000| 73 | 21 | 200 
REPUESTOS|WAHL 400|BOBINA HOMEC/W400/STUD/SUPER V|PUB3-8522-0000| 385 | 21 | 200 
REPUESTOS|WAHL 400|TAPA SUPERIOR WAHL 400|PUB3-9142-7600| 74 | 21 | 200 
REPUESTOS|WAHL 400|CARCASA INFERIOR HOMECUT/W 400|PUB3-9225-1000| 281 | 21 | 200 
REPUESTOS|ADICIONALES|PROTECTOR PLASTICO CUCHILLA|PRO3-8019-1000| 28 | 21 | 200 

