CLASIFICACION|SUBCLASIFICACION|DESCRIPCION|CODIGO INTERNO| COSTO SIN IVA | IVA | MARGEN 
REPUESTOS|BERET|CTO. IMPRESO CARGADOR BERET|PRO3-90608-000| 228 | 21 | 200 
REPUESTOS|BERET|CIRCUITO Y BATERIA BERET|PRO3-93780-400| 1.056 | 21 | 200 
REPUESTOS|BERET|ESPUMA P/MOTOR BERET|PRO3-94104-700| 19 | 21 | 200 
REPUESTOS|BERET|TORNILLO CUCHILLA BERET/ POEME|PRO3-96406-201| 17 | 21 | 200 
REPUESTOS|BERET / BERETTO|LED TESTIGO DE CARGA|PRO3-8729-0000| 38 | 21 | 200 
REPUESTOS|BERET / BERETTO|MAGNETO BERET - BERETTO|PRO3-90594-000| 24 | 21 | 200 
REPUESTOS|BERET / BERETTO|TRANSFORMADOR BERET / BERETTO|PRO3-97581-5305| 1.105 | 21 | 200 
REPUESTOS|BERETTO|CUNA CARGADOR BERETTO|PRO3-8662-1000| 565 | 21 | 200 
REPUESTOS|BERETTO|CARCASA CARGADOR BERETTO|PRO3-8772-0000| 90 | 21 | 200 
REPUESTOS|BERETTO|BASE CARGADOR BERETTO|PRO3-8773-0600| 109 | 21 | 200 
REPUESTOS|BERETTO|TAPA EXTERNA BERETTO|PRO3-88906-170| 734 | 21 | 200 
REPUESTOS|BERETTO|TAPA INTERIOR BERETTO|PRO3-88907-000| 124 | 21 | 200 
REPUESTOS|BERETTO|CARCASA  BERETTO|PRO3-88912-190| 613 | 21 | 200 
REPUESTOS|BERETTO|SWITCH BERETTO|PRO3-88936-000| 38 | 21 | 200 
REPUESTOS|BERETTO|CUBRE CONTACTOS BERETTO|PRO3-88937-000| 61 | 21 | 200 
REPUESTOS|BERETTO|AISLANTE DEL CIRCUITO IMPRESO|PRO3-90064-000| 38 | 21 | 200 
REPUESTOS|BERETTO|CTO.  IMPRESO CARGADOR BERETTO|PRO3-90608-200| 228 | 21 | 200 
REPUESTOS|BERETTO|BATERIA BERETTO|PRO3-93837-000| 737 | 21 | 200 
REPUESTOS|BERETTO|TRABA CUCHILLA BERETTO|PRO3-94219-100| 17 | 21 | 200 
REPUESTOS|BERETTO|TRABA CUCHILLA BERETTO|PRO3-94219-100| 17 | 21 | 200 
REPUESTOS|BERETTO|ARANDELA GOMA MOTOR BERETTO|PRO3-95302-000| 17 | 21 | 200 
REPUESTOS|BERETTO|ARANDELA GOMA MOTOR BERETTO|PRO3-95302-000| 17 | 21 | 200 
REPUESTOS|BERETTO|MOTOR BERETTO|PRO3-95368-500| 343 | 21 | 200 
REPUESTOS|BERETTO|CIRCUITO IMPRESO BERETTO|PRO3-97836-001| 884 | 21 | 200 
REPUESTOS|BERETTO / BERET|TORNILLO CARGADOR BERETTO|PRO3-465-00000| 17 | 21 | 200 
REPUESTOS|BERETTO / BERET|TOR TAPA S TAPER/BERET/BERETTO|PRO3-495-2000| 24 | 21 | 200 
REPUESTOS|BERETTO / BERET|LED TESTIGO DE CARGA|PRO3-8729-0000| 38 | 21 | 200 
REPUESTOS|BERETTO / BERET|MAGNETO BERET - BERETTO|PRO3-90594-000| 24 | 21 | 200 
REPUESTOS|BERETTO / BERET|TRANSFORMADOR BERET / BERETTO|PRO3-97581-5305| 1.105 | 21 | 200 
REPUESTOS|BLING|TAPA SUPERIOR BLING|PRO3-88102-070| 326 | 21 | 200 
REPUESTOS|BLING|TAPA BATERIA BLING|PRO3-88140-100| 175 | 21 | 200 
REPUESTOS|BLING|CARCASA INFERIOR BLING|PRO3-88152-100| 295 | 21 | 200 
REPUESTOS|BLING|SWITCH BLING|PRO3-88171-000| 48 | 21 | 200 
REPUESTOS|BLING|GUIA DE CUCHILLA BLING|PRO3-88183-000| 66 | 21 | 200 
REPUESTOS|BLING|CORDON BLING|PRO3-90120-000| 100 | 21 | 200 
REPUESTOS|BLING|CONTACTO DEL SWITCH - BLING|PRO3-93768-001| 62 | 21 | 200 
REPUESTOS|BLING|CONTACTO TRASERO BLING|PRO3-93774-000| 43 | 21 | 200 
REPUESTOS|BLING|CONTACTO DELANTERO BLING|PRO3-93775-000| 100 | 21 | 200 
REPUESTOS|BLING|CABLE MOTOR BLING|PRO3-9926-4000| 24 | 21 | 200 
REPUESTOS|BLING|MOTOR DODDLE / BLING|PUB3-1669-0000| 312 | 21 | 200 
REPUESTOS|CHROMINI|TAPA SUPERIOR CHROMINI|PRO3-1591-7000| 427 | 21 | 200 
REPUESTOS|CHROMINI|CARCASA INFERIOR CHROMINI|PRO3-1591-7010| 361 | 21 | 200 
REPUESTOS|CHROMINI|BASE CHROMINI P.TRA UNIVERSAL|PRO3-1591-7540| 283 | 21 | 200 
REPUESTOS|CHROMINI|CARGADOR CHROMIN NUEVOCOMPLETO|PRO3-1592-7080| 847 | 21 | 200 
REPUESTOS|CHROMINI / BELLA|TRABA CUCHI IZQ. CHROMINI|PRO3-1565-1031| 14 | 21 | 200 
REPUESTOS|CHROMINI / BELLA|TRABA CUCH. DER CHROMINI|PRO3-1565-1041| 14 | 21 | 200 
REPUESTOS|CHROMINI / BELLA|MOTOR BELLA/CHROMINI|PRO3-1590-7020| 427 | 21 | 200 
REPUESTOS|CHROMINI / BELLA|BATERIA CHROMINI / BELLA/GENIO|PRO3-1590-7040| 349 | 21 | 200 
REPUESTOS|CHROMINI / BELLA|LEVA MOTOR BELLA / CHROMINI|PRO3-1590-7500| 48 | 21 | 200 
REPUESTOS|CHROMINI / BELLA|TRANSFORMADOR UNIVERSAL|PRO3-1881-1671| 688 | 21 | 200 
REPUESTOS|CHROMSTYLE|TAPA SUPERIOR CHROMSTYLE|PRO3-1871-7180| 535 | 21 | 200 
REPUESTOS|CHROMSTYLE|SWITCH CHROMSTYLE|PRO3-1871-7200| 168 | 21 | 200 
REPUESTOS|CHROMSTYLE|BASE CARGADOR CHROMST  "VIEJO"|PRO3-1871-7250| 212 | 21 | 200 
REPUESTOS|CHROMSTYLE|CUERPO CDOR. COMP S/TRAFO NUEV|PRO3-1871-7300| 370 | 21 | 200 
REPUESTOS|CHROMSTYLE|CARCASA INFERIOR CHROMSTYLE|PRO3-1871-7540| 460 | 21 | 200 
REPUESTOS|CHROMSTYLE|MOTOR CHROMSTYLE LITHIUM|PRO3-1871-7700| 360 | 21 | 200 
REPUESTOS|CHROMSTYLE|CTO. IMPRESO C/BATER -CHROMST.|PRO3-1871-7740| 1.600 | 21 | 200 
REPUESTOS|CHROMSTYLE|BASE CARGADOR CHROMSTYLE NUEVO|PRO3-1871-7750| 490 | 21 | 200 
REPUESTOS|CHROMSTYLE|JUEGO CARCAZAS CHROMSTYLE 7896|PRO3-1871-7760| 908 | 21 | 200 
REPUESTOS|CHROMSTYLE|CTO. IMPRESO LITHIUM CHROMSTYL|PRO3-1871-7950| 1.240 | 21 | 200 
REPUESTOS|CHROMSTYLE|BATERIA LITHIUM CHROMSTYLE|PRO3-1871-7960| 785 | 21 | 200 
REPUESTOS|CHROMSTYLE / BELLINA|GUIA DE CUCHILLA CHROMSTYLE|PRO3-1854-1015| 143 | 21 | 200 
REPUESTOS|CHROMSTYLE / BELLINA|RESORTE TENSION CUCHILLA |PRO3-1854-1270| 143 | 21 | 200 
REPUESTOS|CHROMSTYLE / BELLINA|BASTIDOR PLAS CUCH-CHRO/ BELLI|PRO3-1854-1387| 121 | 21 | 200 
REPUESTOS|CHROMSTYLE / BELLINA|LEVA MOTOR BELLISSIMA/CHROMSTY|PRO3-1854-5121| 94 | 21 | 200 
REPUESTOS|CHROMSTYLE / BELLINA|TRABA CUCHI.DER CHROMSTYL|PRO3-1871-1031| 14 | 21 | 200 
REPUESTOS|CHROMSTYLE / BELLINA|TRABA CUCHI.IZQ CHROMSTY|PRO3-1871-1041| 14 | 21 | 200 
REPUESTOS|CHROMSTYLE / BELLINA|TRANSFORMADOR UNIVERSAL|PRO3-1881-1671| 688 | 21 | 200 
REPUESTOS|COLOR CODE|BOBINA Y BRAZO COLOR CODE|PUB3-9155-0001| 192 | 21 | 200 
REPUESTOS|COLORPRO (USA)|TORILLO DE CUCHILLA|PRO3-492-20000| 23 | 21 | 200 
REPUESTOS|COLORPRO (USA)|TORNILLO PALANCA CUCHILLA|PRO3-512-10000| 23 | 21 | 200 
REPUESTOS|COLORPRO (USA)|RESORTE BOBINA COLORPRO|PRO3-521-00000| 23 | 21 | 200 
REPUESTOS|COLORPRO (USA)|TORNILLO BRAZO DE BOBINA COLOR|PUB3-1567-2000| 28 | 21 | 200 
REPUESTOS|COLORPRO (USA)|CABLE CON ENCHUFE COLORPRO|PUB3-621-40000| 431 | 21 | 200 
REPUESTOS|COLORPRO (USA)|TORNILLO DE REGULACION COMPLE|PUB3-8117-8115| 26 | 21 | 200 
REPUESTOS|COLORPRO (USA)|SWITCH COLORPRO|PUB3-8140-0000| 31 | 21 | 200 
REPUESTOS|COLORPRO (USA)|BOBINA  COLORPRO|PUB3-8524-200| 346 | 21 | 200 
REPUESTOS|COLORPRO (USA)|CARCASA INF. COLORPRO / U CLIP|PUB3-87000-000| 167 | 21 | 200 
REPUESTOS|COLORPRO (USA)|TAPA COMPLETA COLORPRO|PUB3-9067-0700| 161 | 21 | 200 
REPUESTOS|COLORPRO (USA)|INSERTO AZUL TAPA COLORPRO|PUB3-92401-000| 90 | 21 | 200 
REPUESTOS|COLORPRO (USA)|CABLE BOBINA COLORPRO|PUB3-97699-200| 30 | 21 | 200 
REPUESTOS|COLORPRO (USA)|PALANCA CUCHILLA|VET3-8227-1001| 73 | 21 | 200 
REPUESTOS|COLORPRO (USA)|BASTIDOR PLASTICO|VET3-8409-2701| 28 | 21 | 200 
REPUESTOS|COLORPRO REC / ERGO TRIM|BATERIA ERGO TRIM/COLORPRO REC|PRO3-1458-1100| 265 | 21 | 200 
REPUESTOS|COLORPRO REC / ERGO TRIM|TRANSF ERGO TRIM/COLORPRO REC|PRO3-1460-1390| 613 | 21 | 200 
REPUESTOS|COLORPRO RECARGABLE (HUNGRIA)|CTO.IMPRESO, MOTOR Y BAT COLOR|PRO3-1461-7140| 1.036 | 21 | 200 
REPUESTOS|COLORPRO RECARGABLE (HUNGRIA)|JGO. CARCASAS COLORPRO RECARG.|PRO3-1461-7190| 422 | 21 | 200 
REPUESTOS|COLORPRO RECARGABLE (HUNGRIA)|MOTOR COLORPRO RECARGABLE|PRO3-1467-2000| 330 | 21 | 200 
REPUESTOS|DELUXE GROOM PRO|BOBINA Y BRAZO DELUXE GROOMPRO|PUB3-79305-001| 202 | 21 | 200 
REPUESTOS|DETAILER|MOTOR DETAILER|PRO3-8723-7000| 764 | 21 | 200 
REPUESTOS|DETAILER|TAPA NEGRA DETAILER|PRO3-88120-104| 110 | 21 | 200 
REPUESTOS|DETAILER|TAPA DETAILER|PRO3-88121-081| 384 | 21 | 200 
REPUESTOS|DETAILER|INSERTO TAPA DETAILER|PRO3-88122-161| 90 | 21 | 200 
REPUESTOS|DETAILER|CARCASA DETAILER|PRO3-88160-1892| 490 | 21 | 200 
REPUESTOS|DETAILER|GUIA DE CUCHILLA DETAILER|PRO3-88182-002| 42 | 21 | 200 
